,0,1,2
61,RT iamroxxyhaze If you are in an interracial relationship because you want a baby with good hair or light skinI hate you,😑,0.0
62,RT KatieStanley211 I hate feeling like something is off,😑,0.0
63,I Hate When People Wake Me Up,😑,0.0
64,And you have to be careful out here because anything you say can be construed as unpopular or hate speech amp your voice can be silenced,😑,0.0
65,I hate when classmates see me lit at clubs,😑,0.0
69,Im sure httpstcoR09zz0rRKK,😑,0.0
70,ABitOfCalvin I only hate on myself,😑,0.0
71,This wont stop hate goon rhetoric Sadly 4them its all about if it was a Muslim or ME person who did it httpstcoaU4O7hv6eg,😑,0.0
72,Hate it when u do that,😑,0.0
73,RT PassionPosts i hate that feeling when youre not necessarily sad but you just feel really empty,😑,0.0
74,Dermatologists hate her  50 year old woman looks 35 httpstcoXqY9LDQWoe,😑,0.0
75,RT Okirisugly The answers are always obvious The problem is we hate the truth,😑,0.0
77,Good Luck with that LOL httpstcolWXyYATyec,😑,0.0
78,Go to the linkdont be shy    httpstcorJmdiYW3lB httpstcoiVvwJe2idm,😑,0.0
79,Idk but i hate it when i have to ask peolple for help in such big thingsi want to do it on my own,😑,0.0
80,Skwamgur_ who I hate guessing Old friend,😑,0.0
81,Artemisuu i hate that about us but i cant help it i,😑,0.0
82,HALCYUON thank you httpstcoL1pptRxxtJ,😑,0.0
83,RT SpencerN123 Huaraches are a pet hate,😑,0.0
84,Sometimes I hate myself for being so considerate for others,😑,0.0
85,wikileaks  why do the democrats hate Sanders so much,😑,0.0
86,RT TAW3343 Hello Hope Goodbye Hate DemsInPhilly httpstcomYZOlzmucO,😑,0.0
87,RT FreddyAmazin I hate dms lol just text me httpstcoaWgCBzl4sy,😑,0.0
88,You wont hear from me for days I hate feeling like Im forcing myself onto people,😭 😩  😑,-6.0
89,RT vinniebanaria i hate it how fiction makes me believe itll happen in reality,😑,0.0
94,RT SamGrittner All the wrong people hate themselves,😑,0.0
95,Hate when cishet boys flirt with you and get all cute with you then they end up doing some fuck shit,😑,0.0
98,Freedom is Precious httpstcoA0Pneq1t37,😑,0.0
99,I hate it when I have disaster movie dreams 8,😑,0.0
100,MY SPIRIT ANIMAL ok u know how to make me feel better I hate you httpstcobgkNBnSi0z,😑,0.0
101,RT sirenasomi I hate that I talk about karla this much httpstcoXi1jxPsYn6,😑,0.0
102,bernie voters hate hillary so she will tell them a story and offer freebies that she would never honorbernie supporters are not ignorant,😑,0.0
103,RT Sweetatertot Must see Furious Bernie Voters HATE Hillary CNN amp the media do not want you to see this DNCinPHL DNCchecklist  https,😑,0.0
104,RT KanyeOfficiaI no bond is stronger than two people who hate the same person,😑,0.0
105,i hate getting up early wtf,😑,0.0
106,I hate stupid opinions  httpstcoWddwMY9jpF,😑,0.0
107,MinjaLovesMz they all had hate but what I was explaining to the other chick is that Minzy wasnt the only one with harsh words being said,😑,0.0
108,RT secretlydinah goodnight im gay and hate everyone httpstco01xelNVxbf,😑,0.0
111,me httpstcobpCQGXMVpg,😑,0.0
112,JohnnyOPH All I can say isssss My god i hate drugs,😂 😑,4.0
113,I hate wearing socks so getting cute socks is incentive,😑,0.0
115,RT fucktyler I FUCKING HATE WHEN PEOPLE USE THE WORD CULTURE IN A PRETENTIOUS WAY FOR THEIR MARKETING SHIT IS GROSS,😑,0.0
116,Cazedmunds947 indi947 4 me yung kanina frm Pres D If we cannot love one another then in Gods name let us not hate each other too much,😑,0.0
117,I hate when I think of shit I should have said in a argument,😑,0.0
118,RT beanietuan I hate u boy httpstcoOxStIn42UP,😑,0.0
119,RT danisnotonfire LoveIsLove shows how amazing the internet can be to spread love and support instead of hate you are beautiful love yo,😑,0.0
120,Kratu was answering fans that were likeyou dont love meI hate you You didnt reply menext time i will do that also kratikaonly,😂 😑,4.0
121,But to you who are willing to listen I say love your enemies Do good to those who hate you Bless those who curse you Pray for thosegt,😑,0.0
122,RT WeLoveBernie1 Pundits are still saying once people know about Clinton theyll love her LOL Weve know about her for 40 years amp tha,😑,0.0
124,klosestenger95 I hate it,😑,0.0
125,Madisynnmaee dillon_logan were concerned when we get a snapchat that says I fucking hate you,️ ☺ 😑,0.0
127,Trump threw a Hail Mary and it was intercepted by Cruz The Winner and Still Champion of Conservatism Ted Cruz httpstcomas1HBXeB0,😑,0.0
128,RT BITCHimnae_ i love online shopping but i hate waiting for that shit to come,😑,0.0
129,We deserve a hell of a lot better than CrookedHillary CorruptDNC  The only way you get WH is cheating DNCinPHL httpstcooTVUIpYFXX,😑,0.0
131,RT mebeshalena  couldwebemorewhitetrash We really really hate each other this is so god damn adorable httpstcocULjrpJzjS,😑,0.0
132,RT caseysurch Doing stuff when youre really into someone totally changes it you could hate vegetables but look at that garden u and ur v,😑,0.0
133,I hate when I leave my lunch bag at ppls houses I really be toting food everywhere I go lol,😑,0.0
135,if we cant yet love each other then lets not hate one another,😑,0.0
136,RT Twice_OT9 WHY IS MOMO THE ONLY ONE MAKING WEIRD POSE I HATE HER httpstcopsjEb99mli,😑,0.0
137,RT jakebackpack 1 Liberals view politics first and foremost as a profession httpstcobgoLNf9Sw7,😑,0.0
138,d_hirsty I live in Reds countrythey hate the fact that AC might go to he Cubbies,😑,0.0
139,i hate this feeling,😑,0.0
141,TheEliCarlson it might take her a while We used to beat each other up and hate each other,😑,0.0
143,I hate janesville,😑,0.0
144,RT spliff_oner How do you struggle with a marijuana addiction  I hate when ppl write that shit httpstcoJz9ZHbm3TZ,😑,0.0
145,These comments make me feel all sorts of things v I hate that I didnt see this when she originally sent it httpstcoHYvcjVtL7d,😑,0.0
146,I hate people,😑,0.0
147,RT heteromeg 14 I HATE BENTLEY OKAY httpstcoPId708EhFw,😑,0.0
148,i dont understand why there are some people sending hate to this giggly babe u guys want a fight httpstco3bCiYjdyKW,😑,0.0
150,Youre never going to get to represent a land full of good people that LOVE their country by telling the,😑,0.0
151,kellypreedy its all the anger and hate,😑,0.0
152,Im at orientation and I forgot how many people I hate at this school,😑,0.0
153,RT GAY4_RIHANNA I hate arguing but i also hate holding shit in,😩 😑,-2.0
154,I hate myself from loving you,😑,0.0
155,RT ella__fraser People that are hate on others without knowing who they are are always the lowest common denominator,😑,0.0
156,RT heavymetalorgy Gaga is over goodbye I hate her team theyre making her irrelevant httpstcoZ0kdf8oghr,😑,0.0
158,I hate myself for trying to forget you,😑,0.0
159,I hate seeing my friends like this,😑,0.0
160,I hate you now i feel the same way you love me now i feel the same way same way,😑,0.0
161,We must fight hate with love httpstcoWGRXLyr0vm httpstcoWUdqpD6vAW httpstcoFxQ3Iq3seT,😑,0.0
162,im the bitch yall love to hate,😑,0.0
163,Not gon go out my way to argue but if sum needs to be discussed and one breaks out it is what it is  httpstcovu6gmsBnZq,😑,0.0
164,RT ValeScandolara Sure we must PrayForNicebut also for the many wars they dont tell us aboutThe only war we should fight is against,😟   😑,-4.0
165,RT loitersquvdvids When they hate you publicly but privately want to be you FamousMelaniaTrumpQuotes httpstcoQbqP5WyYNA,😑,0.0
166,Kelzbell2013 you should know I absolutely hate her guts,😑,0.0
167,Thats YOUR argument denounce when caught Ha ha like Wasserman and DNC Dems breed racism bigotry amp hate httpstcoTnWskq6yOz,😑,0.0
168,Dont hate those people who text you when they need you dont you like it they are already in trouble,😑,0.0
169,RT troptrey I love my pops man I hate the stereotype that black man dont take care of they kids because my father does amp its a blessin,😑,0.0
170,RT Iregretmyvote Bernie voters HATE Hillary  I went Trump months ago now my friends are following I will never regret my vote againn,😑,0.0
171,GiGiHadid Hate me  askgigi,😭 😑,-4.0
172,EDWSnip3down dream about LxthuL again Hate it when that happens,😑,0.0
173,RT ayyjqce I hate this game already httpstcoaqSVoJI841,😑,0.0
174,Llutei u hate me,😑,0.0
175,also they were dabbing i hate my life,😑,0.0
176,shelley_matthys I HATE YOU OMG NO YOU SUCK SO BAD,😩 😑,-2.0
177,I fucking hate all these fake takes,😑,0.0
178,RT Jayy_Ming I hate when my straight friends ask me for booty rubsmassages amp shit  Like bitch dont you know I will flip Ya over amp star,😑,0.0
193,why do you hate Massachusetts  httpstco5WR9jh82j3,😑,0.0
205,de7in_ jack_bannon Bannon I hate u,😑,0.0
220,RT gracezabs I HATE troop 417 in Dodgeball what bitches amiright,😑,0.0
227,RT bcmonigold I hate myself for this httpstcoGQFCu89H1R,😑,0.0
228,JujuKrunch i dont hate u,😑,0.0
230,All good Im voting my gut if no Bernie ampor writein opportunity Ill vote Stein neverhillary VanJones68  httpstcojkFrclN0Dj,😑,0.0
231,Video Bernie Voters HATE Hillary httpstco3x38rnjSMB via realalexjones,😑,0.0
236,RT AIanHangover im so funny and relatable why does everyone hate me lmao,😑,0.0
237,RT junkiewanncbe junkiewanncbe 70 i hate this damn vine httpstcoqk7BBNbR4N,😑,0.0
239,RT KellieTurner Im such a snacker I hate it I love to snack If Im watching one of my shows I can clear a huge bag of hot Cheetos easi,😑,0.0
240,Take a peek at Donald Trumps AmericaBlack single woman finds THIS in her backyard httpstcoRbjGrnITgq,😑,0.0
241,RT R_FAULKERSoN We are here to lovestop the hate  lamyu,️ 😑,0.0
242,RT elbigsalchicha For me its more than HATE HillaryClinton  httpstcosnbEgDxIDh,😑,0.0
243,this is why i hate people httpstcoLCAbmtfnnj,😑,0.0
244,eggtvrts I hate her omg stay away from the son,😑,0.0
245,President Duterte calls for peace If we cannot love one another then in Gods name let us not hate each other too much SONA2016,😑,0.0
246,I hate Twitter because you cant reply tate_ningen,😑,0.0
247,RT babyythc When someone tries to hate on u but ur too worried about aligning ur chakras amp becoming the universe httpstcoU2HcbQKkw6,😑,0.0
248,RT latuu9 i hate lire amp lovely  they no help,😂 😑,4.0
249,RT dicaphoenix  naima do you hate tony in the way that you hate gant gstin i need answers,😑,0.0
250,RT sydneyrmckinney I hate my dog,😑,0.0
251,RT FreedomGetuSome Bernie Voters HATE Hillary They got cheated out of the electionhow are they supposed to feel happy,😑,0.0
252,Hate my sore throat but hate myself more for eating foods that worsen my sore throat,😣 😑,-2.0
253,RT taehyungboo I hate when people think yoongi is cold hearted like he has the biggest heart and is so caring  I love him  httpstco,😢 😑,-2.0
254,RT sehunownsme Chanyeol reads a lot of hate comments on his IG but despite all that he trusts so much that he even let strangers touch hi,😑,0.0
255,JamaicaVaper Stupid and deadly govsingapore  why do you so hate Singaporeans,😑,0.0
256,OlindaHoucks hate it when this happens,😑,0.0
257,RT WisdomReact I hate Twitter  httpstcoT7Tnnb2PSR,😂 😑,4.0
259,RT trapicale People will like you people will hate you people will backstab you so ignore them and focus on yourself and make money,😑,0.0
261,Love you too girl httpstcoCFda3jmNS9,😑,0.0
262,Its hurting you more to hate me cause Im coolin,😑,0.0
263,In case everyone hate me I still love my self   Me Myself amp I by GEazy x Bebe Rexha  httpstcooTHl9mms1y,😑,0.0
264,I seriously hate having braces They make me bleed on a daily Thank god I get them off tomorrow,😊 😑,3.0
265,RT xebec78 Bernie Voters HATE Hillary httpstco8rWYYyF12Y via YouTube,😑,0.0
266,RT dejreneeee i hate when people annoy me in the morning,😑,0.0
267,i hate the days that im just in my feels,😑,0.0
268,RT lainasciortino maddhw sydneyhattonn HoesLoveMeechie I hate cheaters httpstcof3PlGGOuk6,😑,0.0
269,RT Bloviate_Barbie Blaming all Russians for the actions of a few is bigoted racist xenophobic sexist and homophobic DNC needs to st,😑,0.0
270,RT LiveLikeKris This Why I Hate Clowns Mow  Who Remembers The Movie It httpstcoAfRqhO0Oe8,😑,0.0
271,Hate when MFs take long to reply,😒  😑,-2.0
272,RT sanaslipsync I HATE THIS httpstco1CbHBlwZZo,😑,0.0
273,Lol I hate when girls stop messing around with my homies then wanna call me and bash them I swear its awkward af,😂  😑,4.0
274,RT polachan_ polachan_ i hate myself,😑,0.0
275,10 Major WWE Superstars That Hate John Cena httpstcotmjnCrpG4Y httpstcoFjHSs8exmn,😑,0.0
276,RT Coopahman I hate budgeting but its necessary About to start pinching pennies,😑,0.0
277,RT Taylorjo05 dont say you hate someone and THEN HANG OUT WITH THEM,😑,0.0
278,Welp it seems like the world is trying really hard to have me dead even to the point that my family seems to hate me now,😑,0.0
279,RT KingFatass_ I hate people that always have only negative comments to say about things Like fuck off with the negativity,😑,0.0
280,RT ADP1113 Meanwhile in Napoli Higuain hate continues to escalate Soon at ISIS levels httpstcooNyrsYMW40,😑,0.0
281,RT holywatersus Lmao im still confused why Selena is getting hate for her tour and shit cos shes in Islamic countries,😑,0.0
282,RT RyaninInsurance Bernie voters hate Hillary misses the point   A majority of voters hate Hillary,😑,0.0
283,RT nishxnish hating takes a lot of energy and hatred takes a lot of space in ur heart but i guess some ppl have a greater capacity to hat,😑,0.0
284,Theres legit only one person I dont like and I hate it when they come up on my social media,😒  😑,-2.0
285,RT rachelheldevans This was really interesting  httpstcocYKklgEWMg,😑,0.0
286,I hate that bitch That bitch can run in traffic get ran over by 3 big trucks survive lay on tbe side of the road suffering for 2 days,😑,0.0
287,RT thecasino_ I hate to get pulled out of character but sometimes you gotta let a muhfucka know this aint that,😑,0.0
288,no one I hate more than my family,😑,0.0
289,I hate that I have uneven skin tone  legs be looking like Michel Jackson face like Baba Suwe,😫 😩 😑,-4.0
290,RT EddieWineland Fact I hate hand wraps so the commission requires something Here are my wraps from last night hardhands httpstc,😑,0.0
291,aoasgf I hate u,😑,0.0
292,TarotDarrow Loved Hillarys reactiondesignating Wasserman 4 such important position in her campaign Hillary has class BS Mostly hate,😑,0.0
293,I hate that I dream about you still,😑,0.0
294,donnabrazile Oh btw you didnt earn your superdelegate vote you were given to it by the people God I hate you corrupt fucks,😑,0.0
295,Facebook is a love hate thing Never use it but I love lurking on some retards status to see what can surprise me,😩 😑,-2.0
297,Clickdont be shy    httpstcoOLPZjOfgLg httpstcojHhLqpTBwM,😑,0.0
302,I dont listen to Sith,😑,0.0
303,NuRepublitarian Kaine doesnt just hate Israel he really really hates Israel How any American Jew can vote Dem this year is unfathomable,😑,0.0
305,Hes a puppy Hes a bear httpstcopMYfOyqoc4,😑,0.0
306,RT JeffFlake Trying to count the ways I hate timkaine Drawing a blank Congrats to a good man and a good friend,😑,0.0
307,I HATE WHEN THIS HAPPENS httpstcoxfmx39qqLG,😫 😰 😤 😑,1.0
308,hoosierworld PoliticsPeach Tuniekc I hate you,😂 😑,4.0
309,mannlymama Ha D has got his rolling of eyes thing down I HATE it,😑,0.0
310,I hate you Charlotte  httpstcoEeOHn2JgRL,😑,0.0
311,I hate going up to ridge this early  cant wait to go home so I can go back to sleep,😂  😑,4.0
312,RT mic Freedom of speech and hate speech two different things  Lesdoggg httpstcohnQxTcC3Sc,😑,0.0
313,tanyazzle and Im being dragged around I hate this fgs,😑,0.0
314,i honestly hate the whole humphrey family im,😑,0.0
315,Ange_Amene She really should have I hate that she stepped down,😑,0.0
316,RT jihadwatchRS UK pub asks Muslim to remove Islam hoodie hate crime investigation begins httpstcokkKrYfmjed,😑,0.0
317,RT jeonghan_trash jeonghan_trash anyways im finally fucking finished I hate cookies Im never making them aga httpstcoHRgqTeBaKW,😑,0.0
318,I hate showering in the summer because I refuse to take cold showers so it gets really hot,😑,0.0
319,Really hate when people buy them damn bathroom sets from Walmart and I  especially hate the toilet seat cover,😑,0.0
320,RT Lkelly222 I hate when people give you shit for doing something but theyve done the same exact thing,😑,0.0
321,lauren98kinsey is this you  httpstcogCEsPmdwqJ,😂 😑,4.0
324,islam refugees munich Reutlingen,😑,0.0
329,aaarrrgh hate Mondays httpstco1x,😑,0.0
331,israelradioguy EitanArvats trying to make people hate their countries stupid Kuwait is still big in our hearts go die,😑,0.0
332,mind you my shirt is made like that why you hate me so much  httpstcoDDB5gj42re,😭 😑,-4.0
334,I can people hate me,😑,0.0
335,I hate preschool bars I hate these new rappers,😑,0.0
336,I hate mornings,😑,0.0
337,I can do attitude You dont have to hate envy disrespect belittle You too can do all things through ChristMonday behappy blessed,😑,0.0
338,Really hate when Michael falls asleep before me,😩 😬 😑,-4.0
339,RT AlichiaAdams I hate when people think Im in a bad mood bc Im quiet Like no Im actually thinking about what I want to eat,😑,0.0
340,Lmao yea you did  httpstcoRahI9fSbAH,😑,0.0
342,I hate things I be going through but I know its only to make me stronger,😑,0.0
343,Its_azila amp We dont kill amp hate  we defend our citizens from people like Hamas Hezbollah ISIS just as your govt would Bad people,😑,0.0
344,I hate sympathy I hate acting weak,😑,0.0
345,RT comedyandtruth i hate ending on bad terms or not having proper closure with someone especially knowing there were so many things left,😑,0.0
346,RT sbrinahz i hate guys,😑,0.0
347,RT SoPerfectSay I hate it when im being lied straight to mү face when I know everү bit of truth,😑,0.0
348,RT thrhkmrzmn I hate people yang look down on tanned skinampdark skinned people Everyone is beautiful equally why complain,😑,0.0
349,haydenAnickel I hate everything about this Everything,😑,0.0
350,People will hate on the choices you make in your life because they have no options with their own,😑,0.0
352,httpstcolelftsQKF0,😑,0.0
357,httpstcobdX4LCdEWt,😑,0.0
358,RT lifelettercafe When we hate someone different we are hating ourselves  fhDavidChadwick httpstcorHiNR8Z9Tj DavidJBMiller ht,😑,0.0
359,RT AsiaGaines78_ I hate hearing people talk,😑,0.0
360,RT ShowersIdeas I would probably hate meeting someone with the exact same personality as me,😑,0.0
362,RT LisaVikingstad What would make progressives who hate Trump vote for him other than Hillary Promise to pardon every whistleblower Obam,😑,0.0
363,WHAT THE SHIT  i hate myself  httpstcoHrYoEKbMNL,😭 😍 😑,0.0
367,https,😑,0.0
368,RT CruddyIsh I hate dis generations mindset yo like wtf b wrong wit yall  I think its da lack of common sense,😑,0.0
369,What question do you hate being asked,😑,0.0
370,MotownJones gentlemanirish BiPartisan hate runs so strong it does not matter what she says or does she will get the voters on her side,😑,0.0
371,Lets have a chat     httpstco2UZAG7Y5uA httpstcoTfQuvmSj2q,😑,0.0
372,Everyone loves music so as music lovers we shouldnt hate on any music festival just bc its not the type of music we enjoy listening to,😑,0.0
373,And I triple hate the people that RT them into my timeline,😑,0.0
374,Running a halfmarathon was a challenge itself how I got there is a whole story itself running challengeyourself httpstcoA0IvljNB6F,😑,0.0
375,LITsauce it would come at the most random times tho i hate niggas that try to use mad extra words for no reason,😑,0.0
376,I hate spending money I swear Wish I could save it all,😭 😑,-4.0
377,RT VibinInThe6 I hate these httpstcowRwP5SjaOv,😑,0.0
378,Your haters hate themselves,😑,0.0
379,I really hate this feeling,😑,0.0
380,OMGitsVannahRai Savannnah I hate to break it you but He didnt go to the BET awards unless he got an awardhes not coming to this game,😂  😑,4.0
381,Theyre like that with everyone theyll post negative comments with 23 likes for something harmless httpstcon9ydQAow9R,😑,0.0
384,Today bless this week ahead of me transform hate into love grief into joy doubt into certainty amp dreams i,😑,0.0
389,I hate the system their management choose to sell their image,😑,0.0
390,RT yasmina_idris i hate mushrooms more than anything,😑,0.0
391,RT BlueNationRev Arent You Just Sick and Tired of the Hate Hate Hate on Hillary httpstconmk1ruhGbd DemConvention DemsInPhilly,😑,0.0
392,RT BellaTwins Hate when I try to leave and this face just stares at me trying to tell me Please dont go Mommy N httpstco8c4LPB3,😑,0.0
393,RT _CallHerRaquel really hate that Im up RN,😑,0.0
394,i wont hate anyone as much as I hate sam claflin bourgeois cumberbatch michael fassbender and jared leto fact,😑,0.0
397,fun fact my shyness prevents me from talking about how i really feel amp getting close to people i hate,😑,0.0
399,now she trollin lol httpstcoyDsICigpsk,😑,0.0
402,Love or Hate Ill Win,😑,0.0
403,BTS_twt you boys are making me broke i hate yall,😑,0.0
404,RT Twtbiy People will like you people will hate you people will backstab you so ignore them and focus on yourself and make money,😑,0.0
405,BuzzFeedAndrew this sort of reporting is why people hate reporters  they know the information is bogus but need to the clicks so,😑,0.0
406,Hate a bitter bitch,😑,0.0
407,We lit boss jus called an early day httpstcoxVeFiZx8Z7,😑,0.0
408,RT heycheyennehey Idk like racist is now just a label that means someone is a bad person instead of meaning they actively hate entire g,😑,0.0
409,chad_mallard Well considering I dont support Hillary for I hate her as much as I hate Trump maybe more this is hardly an insult,😑,0.0
410,_djaguillon ghad i hate drugs hahaha,😑,0.0
411,I hate myself omg im so emotional bc of les malheurs de sophie,😑,0.0
414,i hate when people firmly believe that suicide is selfish,😑,0.0
415,RT jksetal Video Bernie Voters HATE Hillary httpstcoXhHfjt99eq via realalexjones Love those Berners,😑,0.0
416,Hate driving in heavy rain,😑,0.0
417,I hate waking up before the time is in 4 digits tired af,😑,0.0
418,The thing that i hate the most is slow connection huft,😑,0.0
419,Thats just the worst thing ever httpstcoIzURoo76aw,😢 😯 😦 😑,-4.0
420,Yes This httpstcoTFoFZQo5mK,😑,0.0
421,RT DILLONFRANCIS Sometimes I just hate everything,😑,0.0
422,RT StylesMovieNews Im so glad this confusion and conspiracy came about I was worried Id hate to know for sure who comes out of this a,😑,0.0
423,wahti_ yeah and Ive been checking peoples lips all day I fucking hate you,😑,0.0
424,RT PeepGame_T I do what I want and they hate it,😑,0.0
425,RT JohnnyLaLaLa LOOK AT THE HATE ON THERE FACES I BEEN THE HARDEST ADZ WAS MY DARG THO THINGS JUST CHANGED ITS MAD  httpstcoYHOo65F4,😑,0.0
426,I hate having egg on my face,😑,0.0
430,me httpstcoWTjQTEdgvg,😑,0.0
432,A superb article that explains the true drama playing out in labour PLP httpstcoDNcsEJ1iWF via telegraphnews,😑,0.0
433,That shit yat I hate her,😑,0.0
437,httpstcoGNb8LNeJcb,😑,0.0
438,i hate when i get hungry right after i brush my teeth,😑,0.0
439,I FUCKING HATE NETFLIX FOR THE END OF SEASON 4 OF OITNB netflix YOU DID A BAD THING,😑,0.0
440,I personally have a bias bc I love your transit system its trash but its also amazing and I HATE driving,😑,0.0
441,Love dont care who you be or where you come from We cant help who we love or hate,😑,0.0
442,good morning I hate u all,😑,0.0
443,RT CRC23_ Id rather have you hate on me then give me fake smilesId respect you more,😑,0.0
444,RT GaebelHannah I hate hiccups,😑,0.0
445,I HATE the west rd store,😑,0.0
446,RT reecenielsen32  your grandma httpstcovIja9Va5TN,😑,0.0
447,RT mica_tinelli Lunes gris gnash  i hate u i love u ft olivia obrien music video httpstcoKG8q99ZWQY,😑,0.0
448,imma get mine and I know they finna  hate,😑,0.0
449,Why do we love love when love seems to hate us,😑,0.0
450,hate it when the chicken nugget doesnt fit in the sauce,😑,0.0
451,I hate mondays they crazy Make us run then we so tired but GO HOME STILL MUST DO WORK Okay dorcas stop complaining,😑,0.0
453,Me too  httpstcoyfGU9LZfSk,😑,0.0
454,Hate it when people call me Bradley,😑,0.0
455,Like if you hate clowns retweet if you dont,😑,0.0
457,Omg I hate my hair She completely misunderstood what I wanted her to do,😑,0.0
458,RT bbcreamed AWW NOOOO WAY httpstcoBlNM7UrvNE,😑,0.0
459,She respects us even though some of the Malaysians hate her I wonder why they cant do the same lol,😑,0.0
461,Hate her to the end,😑,0.0
462,RT tar_tarxoxo I cant believe I didnt notice until now that HE TAGGED ME AS THE TRASH CAN I hate boys httpstcons4T0HSek4,😑,0.0
465,me httpstcoApM65Bv4if,😑,0.0
466,RT CoolKid_80  mind you my shirt is made like that why you hate me so much  httpstcoDDB5gj42re,😭 😑,-4.0
467,ahhhh jheeze i hate people omgggggggggggggggggggggg,😑,0.0
468,andaming nagpopost ng i hate himher i think i like someone what should i do etc,😑,0.0
469,I hate that I have 5000 passwords I use to have one for all but thats how you get caught lackin,😑,0.0
471,also me httpstcoWD0vjPpoo0,😑,0.0
472,You fucking hate me,😑,0.0
474,i hate you but i love you more,😑,0.0
477,Bernie supporters yes let the hate run through you h,😑,0.0
478,classic   httpstcoI4yjV0jnac,😑,0.0
479,But I still hate you,😑,0.0
480,RT shaziewazie_ I hate extra ass people,😑,0.0
481,YounisArshad1 i already hate u make it worse init,😑,0.0
482,RT inactive Find someone who knows youre sad just by the change of tone in your voice and be with someone who loves the feature that yo,😑,0.0
486,I dont care,😑,0.0
488,I hate everyone who told me that cause its shit,😑,0.0
489,washingtonpost Still trying to make Americans hate Putin httpstcoaMTAom2lGj,😑,0.0
490,episode three and four of love live sunshine made me cry i hate this anime,😑,0.0
492,RT PowerIifting Lovehate relationship with cardio httpstcoPHBsvv6uhZ,😑,0.0
494,RT _mlashayy 10 WORST CHICKEN EVER  taste like feet  i hate kfc amp THE MASHED POTATOES  httpstco4knPHKvMTe,😭 😑,-4.0
